,author,published_at,updated_at,like_count,text
1236,@af8828,2023-06-24T01:52:01Z,2023-06-24T01:52:01Z,0,"So Netflix is just redoing the Chinese version of the show that just recently dropped which is based on the first book. Which is cool but with the budget they have doing the second book would be better, plus it could just build off of what the Chinese show already did."
1237,@artheart5652,2023-06-24T01:30:11Z,2023-06-24T01:30:11Z,1,Looking good! His dark materials barely scratched the surface of this concept.
1238,@roshinobi,2023-06-24T01:29:49Z,2023-06-24T01:29:49Z,0,"Alright, not gonna make the mistake of reading the books first, cause these shows never live up to the books."
1239,@j.s.3414,2023-06-24T01:23:00Z,2023-06-24T01:23:00Z,1,"Oh god, please live up to the source material...I don't want my heart broken. I still dream of finding a saga as good as Remembrance."
1240,@veniteaver,2023-06-24T01:17:00Z,2023-06-24T01:18:37Z,0,"Anybody knows that trailer's music, is the theme 'Houston Skyline' from one of the best documentals in history: 'The Thin Blue Line' by Errol Morris? I reconigze it inmediately!"
1241,@grilledflatbread4692,2023-06-24T00:47:10Z,2023-06-24T00:47:10Z,0,I'm really curious at the pacing of this story because it <b>really</b> jumps the shark into the microwave and launches it to Mars
1242,@fablecouvrette5334,2023-06-24T00:10:24Z,2023-06-24T00:10:24Z,0,Can't want to rant to the uninitiated about all my gripes about cosmic sociology for the next five years
1243,@NoahSprague,2023-06-24T00:01:45Z,2023-06-24T00:01:45Z,0,Let's hope they stick close to the books because as we all know these dudes are not clever enough to write their own stuff. I hope we get to see dark forest next Luo Ji is my favorite character and i hope they do him justice.
1244,@TheBetterGamer,2023-06-23T23:57:22Z,2023-06-23T23:57:22Z,1,the vfx team must not have been paid much...
1245,@michaelwu7678,2023-06-23T23:23:09Z,2023-06-23T23:23:09Z,0,The 1st one will be good. The 2nd one will be ok. And the last one will completely shit the bed 😂
1246,@thebernice6062,2023-06-23T23:17:00Z,2023-06-23T23:17:00Z,0,Netflix gave Benioff and Weiss another book series to produce...  Good luck with that.  You better hope they don't get bored with it around the final season.  Any show with those two losers is an absolute no for me.
1247,@jasonluery1111,2023-06-23T22:52:41Z,2023-06-23T22:53:21Z,0,It’s from Liu Cixin.
